C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
102	hip 18336  	V* T Eri                           	Mira                  	03 55 13.9008848232 -24 01 56.570029104	     ~   	10.50    	7.20     	     ~   	     ~  	M5/6IIIe       	  77	   0
103	hip 102546 	V* V Aqr                           	LongPeriodV*          	20 46 49.3615871112 +02 26 15.239806188	     ~   	9.73     	8.53     	     ~   	     ~  	M5/6(III)      	  48	   0
104	hip 42489  	V* RV Hya                          	LongPeriodV*          	08 39 43.7552377224 -09 35 13.016145480	     ~   	9.27     	7.87     	     ~   	     ~  	M4III          	  43	   0
105	hip 84099  	Wolf 654                           	HighPM*               	17 11 34.7478643872 +38 26 33.915333120	     ~   	     ~   	     ~   	11.255   	     ~  	M4V            	  70	   0
106	hip 61009  	V* T CVn                           	LongPeriodV*          	12 30 12.4025645376 +31 30 12.036045060	     ~   	11.86    	10.26    	8.04     	     ~  	M5             	  68	   0
107	hip 53449  	* 56 Leo                           	LongPeriodV*_Candidate	10 56 01.4689991 +06 11 07.327524      	8.45     	7.24     	5.78     	3.53     	1.44    	M5.5III:       	 170	   0
108	hip 84114  	CD-26 11986                        	**                    	17 11 47.5195264512 -26 26 21.621797268	     ~   	11.30    	9.53     	     ~   	     ~  	~              	   8	   0
109	hip 70885  	V* V Boo                           	LongPeriodV*          	14 29 45.2660481288 +38 51 40.661203608	     ~   	9.73     	8.46     	     ~   	     ~  	M5+-6.5e       	 115	   0
110	hip 103933 	V* DY Vul                          	LongPeriodV*          	21 03 29.7784656600 +23 59 46.538058912	     ~   	8.62     	7.26     	     ~   	     ~  	M3             	  25	   0
111	hip 9306   	V* U Per                           	Mira                  	01 59 35.1223207296 +54 49 20.005668912	     ~   	10.11    	8.76     	7.20     	     ~  	M5.5-7e        	 113	   0
112	hip 61404  	V* BO Mus                          	LongPeriodV*          	12 34 54.4436108609 -67 45 24.827074296	     ~   	7.75     	6.23     	     ~   	     ~  	M6II/III       	  31	   0
113	hip 24126  	V* S Pic                           	Mira                  	05 10 57.2451886368 -48 30 25.453894284	     ~   	10.46    	6.50     	9.45     	     ~  	M7e            	  88	   0
114	hip 44601  	V* TT UMa                          	LongPeriodV*          	09 05 14.3747115360 +60 17 12.937028136	     ~   	10.46    	9.20     	     ~   	     ~  	M6III          	  22	   0
115	hip 99648  	V* V1183 Cyg                       	LongPeriodV*          	20 13 21.4811853528 +37 44 43.749397932	     ~   	11.36    	9.92     	     ~   	     ~  	M6             	  24	   0
116	hip 8953   	V* XX For                          	LongPeriodV*          	01 55 18.3946953696 -35 48 11.203299396	     ~   	10.82    	9.58     	     ~   	     ~  	M0             	  16	   0
117	hip 40388  	V* RX Cnc                          	LongPeriodV*          	08 14 43.5369192960 +24 44 05.332417044	     ~   	9.94     	9.20     	7.1      	     ~  	M8             	  41	   0
118	hip 12017  	V* AI Ari                          	LongPeriodV*          	02 35 00.5465371512 +22 27 57.925261872	     ~   	11.61    	10.51    	     ~   	     ~  	M5             	  13	   0
119	hip 56144  	V* KO Mus                          	LongPeriodV*          	11 30 28.5451952880 -74 36 31.339467612	     ~   	10.53    	9.11     	     ~   	     ~  	M5/7           	  15	   0
120	hip 51110  	V* GR UMa                          	LongPeriodV*          	10 26 31.5590811648 +62 20 47.578560180	     ~   	11.19    	10.01    	     ~   	     ~  	M8             	  10	   0
121	hip 117591 	V* TZ And                          	LongPeriodV*_Candidate	23 50 51.7940929008 +47 30 28.463243040	     ~   	10.23    	8.86     	     ~   	     ~  	M5-6III        	  25	   0
122	hip 67261  	HD 119796                          	YellowSG              	13 47 10.8637122288 -62 35 22.949098944	10.24    	9.05     	6.80     	4.74     	3.54    	G8Ia+          	 131	   0
123	hip 47076  	V* RR Ant                          	LongPeriodV*          	09 35 38.9293795848 -39 54 12.651968556	     ~   	9.82     	8.38     	     ~   	     ~  	M5.5II         	  19	   0
124	hip 95902  	V* AF Cyg                          	LongPeriodV*          	19 30 12.8536070904 +46 08 52.085413212	     ~   	8.50     	7.18     	     ~   	     ~  	M5III          	  92	   0
125	hip 80704  	* g Her                            	AGB*                  	16 28 38.5485851 +41 52 54.040593      	7.70     	6.53     	5.01     	2.49     	0.26    	M6-III         	 376	   0
126	hip 87221  	V* V1087 Sco                       	LongPeriodV*          	17 49 11.0142773016 -33 15 00.831696264	     ~   	10.77    	8.74     	     ~   	     ~  	M0             	  11	   0
127	hip 57505  	V* DU Cha                          	LongPeriodV*          	11 47 14.3341687728 -76 37 04.503358524	     ~   	9.30     	7.78     	     ~   	     ~  	M6III          	  22	   0
128	hip 703    	V* RU Oct                          	Mira                  	00 08 46.1704825824 -86 11 18.582437436	     ~   	13.49    	12.22    	     ~   	     ~  	~              	  27	   0
129	hip 110112 	V* TX Peg                          	LongPeriodV*          	22 18 18.2349010728 +13 36 28.746097884	     ~   	9.85     	8.48     	     ~   	     ~  	M6IIIe         	  25	   0
130	hip 39128  	V* V411 Pup                        	LongPeriodV*          	08 00 15.9050176008 -32 42 42.348532284	     ~   	10.15    	8.88     	     ~   	     ~  	M6             	  11	   0
131	hip 21046  	V* RV Cam                          	LongPeriodV*          	04 30 41.6803544040 +57 24 42.284271780	     ~   	9.65     	8.20     	     ~   	     ~  	M4II-III       	  61	   0
132	hip 76844  	V* RR CrB                          	LongPeriodV*          	15 41 26.2283819568 +38 33 26.600250528	     ~   	9.02     	8.40     	     ~   	     ~  	M3             	  51	   0
133	hip 72208  	V* EK Boo                          	LongPeriodV*_Candidate	14 46 05.9426993007 +15 07 54.411177125	8.51     	7.20     	5.63     	     ~   	     ~  	M5+IIIab       	  77	   0
134	hip 92237  	V* V1001 Her                       	LongPeriodV*          	18 47 53.8361963112 +24 47 43.450999584	     ~   	11.78    	10.32    	     ~   	     ~  	M3             	  17	   0
135	hip 27286  	V* S Col                           	Mira                  	05 46 56.3085067296 -31 41 28.366804824	     ~   	11.98    	11.01    	     ~   	     ~  	M8             	  70	   0
136	hip 31057  	V* AY Dor                          	AGB*_Candidate        	06 31 01.1088554976 -66 52 14.473046928	     ~   	8.67     	7.32     	     ~   	     ~  	M6II/III       	  23	   0
137	hip 39755  	V* FK Cam                          	LongPeriodV*          	08 07 32.0302204248 +60 42 32.474643732	     ~   	10.94    	9.47     	     ~   	     ~  	M5             	  12	   0
138	hip 55173  	V* RX Crt                          	LongPeriodV*          	11 17 47.0964136536 -22 08 45.115130688	     ~   	8.71     	7.42     	     ~   	     ~  	M6III          	  25	   0
139	hip 9171   	V* AA Tri                          	LongPeriodV*          	01 58 03.7711962888 +31 08 03.774916536	9.610    	8.510    	7.080    	     ~   	     ~  	M3             	  31	   0
140	hip 87190  	V* V337 Her                        	LongPeriodV*          	17 48 47.2127373792 +45 41 59.389210464	     ~   	9.49     	8.25     	     ~   	     ~  	M8             	  28	   0
141	hip 78959  	V* AD CrB                          	LongPeriodV*          	16 07 08.6584501848 +32 22 46.506820944	     ~   	10.62    	9.33     	     ~   	     ~  	M8             	  11	   0
142	hip 79330  	HIP 79330                          	Star                  	16 11 25.6826642448 -51 23 21.677926200	     ~   	12.98    	10.95    	     ~   	     ~  	~              	   8	   0
143	hip 66496  	V* DH Boo                          	LongPeriodV*_Candidate	13 37 52.9275858216 +13 26 48.380517672	     ~   	9.70     	8.51     	     ~   	     ~  	Mb             	  22	   0
144	hip 35915  	V* ZZ CMi                          	LongPeriodV*          	07 24 13.9974457224 +08 53 51.786973752	     ~   	11.10    	10.20    	     ~   	     ~  	M6I-IIep       	  48	   0
145	hip 25229  	V* DX Cam                          	LongPeriodV*_Candidate	05 23 44.1830883360 +60 43 15.809690568	     ~   	10.91    	9.45     	     ~   	     ~  	M2             	  10	   0
146	hip 61163  	V* BV CVn                          	LongPeriodV*          	12 31 59.4327932688 +43 28 58.797525468	     ~   	10.95    	9.6      	     ~   	     ~  	M6III          	  13	   0
147	hip 74558  	V* Y Ser                           	Mira                  	15 14 01.4484652440 -01 53 11.041042344	     ~   	11.1     	9.46     	     ~   	     ~  	M4III          	  34	   0
148	hip 80073  	V* AH CrB                          	LongPeriodV*          	16 20 34.9714706496 +34 37 40.094552460	     ~   	10.19    	8.96     	     ~   	     ~  	~              	  16	   0
149	hip 42068  	V* FN UMa                          	LongPeriodV*          	08 34 27.6301106088 +67 11 20.292502308	     ~   	10.22    	8.89     	     ~   	     ~  	M8             	  19	   0
