C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
93 	hip 48257  	BD+57 1235                         	Double or Multiple Star	09 50 15.83986 +57 06 35.1261          	     ~   	10.387   	9.915    	9.820    	     ~   	~              	  11	   0
94 	hip 102515 	HD 197802                          	Double or Multiple Star	20 46 31.12949 -16 41 52.2876          	     ~   	     ~   	     ~   	     ~   	     ~   	K0III+F/G      	  15	   0
95 	hip 27181  	V* Y Tau                           	Carbon Star            	05 45 39.4101366456 +20 41 42.148590324	15.71    	9.90     	6.90     	4.69     	3.19     	C-N5-          	 221	   1
96 	hip 49336  	HD 87416                           	Double or Multiple Star	10 04 17.7964398016 -28 22 43.608391139	     ~   	     ~   	     ~   	     ~   	     ~   	F6V            	  47	   0
97 	hip 43811  	V* X Cnc                           	Carbon Star            	08 55 22.8819374952 +17 13 52.583009880	     ~   	9.63     	6.40     	4.29     	2.90     	C-N4.5         	 266	   1
98 	hip 38772  	V* SU Pup                          	S Star                 	07 56 12.0796347024 -44 08 33.254946420	     ~   	     ~   	     ~   	12.10    	     ~   	S4,2           	  32	   0
99 	hip 4356   	HD 5412                            	Double or Multiple Star	00 55 49.94084 -16 22 07.0473          	     ~   	9.801    	9.481    	9.528    	     ~   	G3V            	  10	   0
100	hip 96295  	HD 184738                          	Planetary Nebula       	19 34 45.2337620448 +30 30 58.950651240	     ~   	10.41    	10.44    	     ~   	     ~   	[WC9]          	 942	   0
101	hip 69909  	HD 124879                          	Double or Multiple Star	14 18 26.80105 -63 00 18.1455          	     ~   	9.644    	9.259    	8.959    	     ~   	F6V            	  31	   0
102	hip 98674  	HIP 98674                          	Star                   	20 02 31.7347580088 +30 39 11.910343032	     ~   	13.26    	10.95    	     ~   	     ~   	~              	   9	   0
103	hip 94590  	BD+01 3942                         	Double or Multiple Star	19 14 58.96245 +02 09 54.6910          	     ~   	     ~   	     ~   	     ~   	     ~   	K7V+M0V        	  28	   0
104	hip 55845  	HD 99541                           	Double or Multiple Star	11 26 44.78864 -47 07 37.8683          	     ~   	     ~   	     ~   	     ~   	     ~   	A1V            	   8	   0
105	hip 51821  	V* U Ant                           	Carbon Star            	10 35 12.8510147472 -39 33 45.324020448	15.32    	8.22     	5.38     	3.18     	1.86     	C-N3           	 147	   0
106	hip 62126  	V* S UMa                           	S Star                 	12 43 56.6759612760 +61 05 35.501371908	     ~   	11.3     	7.10     	8.02     	     ~   	S0.5-6/6e      	 168	   1
107	hip 19258  	HD 26951                           	Double or Multiple Star	04 07 41.12946 -75 51 42.4643          	     ~   	9.93     	9.60     	9.64     	     ~   	G5V            	  17	   0
108	hip 78307  	V* AH Ser                          	Mira Variable          	15 59 20.5548455832 +19 46 47.294541984	     ~   	12.67    	11.70    	12.41    	     ~   	M2             	  25	   0
109	hip 21986  	* 55 Eri                           	Double or Multiple Star	04 43 34.74627 -08 47 39.5132          	     ~   	     ~   	     ~   	     ~   	     ~   	~              	  45	   0
110	hip 4974   	HD 6307                            	Eclipsing Binary       	01 03 43.83558 -30 23 55.3061          	     ~   	9.85     	9.38     	9.41     	     ~   	F5/6V          	  34	   0
111	hip 78910  	HD 144336                          	Double or Multiple Star	16 06 28.07172 -31 20 33.3474          	     ~   	     ~   	     ~   	     ~   	     ~   	F3V            	  12	   0
112	hip 112784 	V* SX Peg                          	S Star                 	22 50 24.8246941896 +17 53 36.514618152	     ~   	12.00    	9.70     	     ~   	     ~   	S2.5-5/6-6.5e  	  52	   0
113	hip 90284  	HD 170109                          	Double or Multiple Star	18 25 18.22070 +48 45 42.5326          	     ~   	     ~   	     ~   	7.88     	     ~   	G5             	  53	   0
114	hip 53915  	V* RT Crt                          	Mira Variable          	11 01 55.1396049144 -07 39 41.763940632	     ~   	11.56    	10.25    	10.15    	     ~   	M8             	  27	   0
115	hip 75495  	BD+74 618                          	Double or Multiple Star	15 25 17.93896 +74 27 10.0618          	     ~   	     ~   	     ~   	     ~   	     ~   	K3?            	  15	   0
