C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
125	hip 95475  	BD+64 1349                         	Spectroscopic Binary          	19 25 15.0273243528 +65 01 58.749110472	     ~   	10.93    	9.86     	     ~   	     ~   	G5               	   7	   0
126	hip 97760  	HD 188035                          	Star                          	19 52 00.2101672824 +31 42 26.178812604	7.7      	7.82     	7.83     	     ~   	     ~   	A0               	  15	   0
127	hip 106058 	BD+16 4537                         	Star                          	21 28 57.0458266368 +17 20 15.415028736	     ~   	10.18    	8.76     	     ~   	     ~   	K2               	   6	   0
128	hip 106235 	HD 204995                          	Star                          	21 31 03.3898982328 +43 06 23.068545480	     ~   	8.62     	8.69     	     ~   	     ~   	B9               	  14	   0
129	hip 112629 	HD 215853                          	Star                          	22 48 40.3049030688 -34 13 43.408923888	     ~   	10.87    	10.45    	     ~   	     ~   	F3V              	  13	   0
130	hip 115719 	HD 220795                          	Star                          	23 26 39.6354624552 +09 44 59.373120840	     ~   	9.69     	8.78     	     ~   	     ~   	G5               	  14	   0
131	hip 783    	HD 521                             	Star                          	00 09 39.7410870912 -32 04 44.128808040	     ~   	10.95    	9.27     	     ~   	     ~   	K2/3             	  12	   0
132	hip 11792  	BD+60 498                          	Young Stellar Object          	02 32 10.8542551368 +61 33 07.940208384	11.61    	10.47    	9.94     	     ~   	     ~   	O9.7II-III       	 102	   0
133	hip 25841  	HD 36366                           	Spectroscopic Binary          	05 31 00.1143905328 -06 11 28.800643488	     ~   	8.22     	8.16     	     ~   	     ~   	B8-9Vn           	  40	   0
134	hip 26216  	HD 36997                           	Double or Multiple Star       	05 35 13.8193272936 -02 22 52.338830412	     ~   	8.29     	8.32     	     ~   	     ~   	B9.5IIIpSiSr     	  30	   0
135	hip 26345  	HD 37209A                          	Star                          	05 36 35.6933463600 -06 03 53.102455123	4.61     	5.535    	5.750    	     ~   	     ~   	B2IV             	 132	   0
136	hip 28901  	HD 40770                           	Star                          	06 06 06.0159926112 +66 15 53.813603484	     ~   	8.17     	8.01     	     ~   	     ~   	A2               	   9	   0
137	hip 30722  	HD 45314                           	Be Star                       	06 27 15.7784072112 +14 53 21.212913660	5.91     	6.79     	6.64     	     ~   	     ~   	O9:npe           	 173	   0
138	hip 33963  	HD 52965                           	Emission-line Star            	07 02 49.8702642240 -08 18 48.648045852	     ~   	9.14     	9.04     	     ~   	     ~   	B8V              	  37	   0
139	hip 34643  	HD 56480                           	Star                          	07 10 29.9926449437 -72 20 33.690731816	     ~   	8.31     	8.06     	     ~   	     ~   	A3mA5-A7         	  18	   0
140	hip 35593  	HD 57479                           	Star                          	07 20 42.9532372248 -19 13 40.627708572	     ~   	9.26     	8.33     	     ~   	     ~   	G8/K0III+A3V     	  12	   0
141	hip 40325  	BD+22 1887                         	Star                          	08 14 02.7872952072 +21 40 04.684038420	     ~   	10.58    	9.30     	8.5      	     ~   	K5               	  10	   0
142	hip 48644  	HD 85917                           	Spectroscopic Binary          	09 55 06.4628876976 -01 23 10.192328016	     ~   	9.72     	8.91     	     ~   	     ~   	G5V              	  10	   0
143	hip 58076  	HD 103453                          	Star                          	11 54 35.9874880104 -45 04 54.645249432	     ~   	9.05     	8.99     	     ~   	     ~   	A0V              	  13	   0
144	hip 79267  	BD+19 3061                         	Star                          	16 10 39.0107373672 +19 22 03.768354120	     ~   	10.23    	9.80     	     ~   	     ~   	F2               	   8	   0
145	hip 81275  	HD 149210                          	Double or Multiple Star       	16 35 57.9710610432 -53 07 58.015364808	     ~   	9.76     	8.47     	     ~   	     ~   	K2III            	  10	   0
146	hip 87832  	HD 163351                          	Star                          	17 56 34.9207785720 -19 01 05.791861308	     ~   	9.97     	9.65     	     ~   	     ~   	A0/1             	  13	   0
147	hip 89111  	HD 166418                          	Blue Supergiant               	18 11 13.2292749322 -16 42 14.095507528	8.34     	     ~   	     ~   	9.123    	8.742    	B0Ia/ab          	  39	   0
148	hip 90307  	HD 169720                          	Star                          	18 25 32.6532420768 +14 45 03.627438624	     ~   	8.71     	7.51     	     ~   	     ~   	K0               	  13	   0
149	hip 90710  	HIP 90710                          	Star                          	18 30 26.3157272736 -20 57 06.404368860	     ~   	12.12    	10.73    	     ~   	     ~   	~                	   5	   0
150	hip 94560  	HD 180375                          	Star                          	19 14 42.9498663576 +36 59 18.002436648	     ~   	9.10     	8.02     	     ~   	     ~   	K0               	   9	   0
151	hip 111065 	BD+37 4593                         	Star                          	22 30 01.3417614072 +38 43 30.885855240	     ~   	10.91    	10.67    	     ~   	     ~   	A1               	   8	   0
152	hip 112039 	HD 215026                          	Star                          	22 41 34.4820529584 +46 27 06.450088680	     ~   	9.70     	9.64     	     ~   	     ~   	A0               	   8	   0
153	hip 114647 	BD+44 4356                         	Star                          	23 13 30.0876390456 +45 14 11.120944056	     ~   	10.00    	9.88     	     ~   	     ~   	A2               	   6	   0
154	hip 116605 	BD+46 4103                         	Star                          	23 37 51.5627081064 +47 46 30.792497304	     ~   	10.78    	9.19     	     ~   	     ~   	K2               	   5	   0
155	hip 116642 	HD 222136                          	Star                          	23 38 15.4538768592 -39 37 07.949009388	     ~   	8.892    	8.55     	     ~   	     ~   	F0V              	  19	   0
156	hip 411    	BD+32 4763                         	Spectroscopic Binary          	00 05 01.5915809976 +33 21 36.041598144	     ~   	11.21    	9.74     	     ~   	     ~   	K5               	   7	   0
157	hip 561    	HIP 561                            	Star                          	00 06 50.3061497112 +68 10 01.635702852	     ~   	12.51    	11.64    	     ~   	     ~   	~                	   7	   0
